title,movieId,rating,class
Blackrock (1997),5828,5.0,высокий рейтинг
Burn Up! (1991),98615,5.0,высокий рейтинг
"Pervert's Guide to Cinema, The (2006)",64278,5.0,высокий рейтинг
Eighteen (2005),140739,5.0,высокий рейтинг
Peter Pan (1960),74089,5.0,высокий рейтинг
"Night of the Shooting Stars (Notte di San Lorenzo, La) (1982)",6107,5.0,высокий рейтинг
Night Flier (1997),1771,5.0,высокий рейтинг
Female Perversions (1996),1312,5.0,высокий рейтинг
On Any Sunday (1971),2984,5.0,высокий рейтинг
Bite the Bullet (1975),5301,5.0,высокий рейтинг
Erik the Viking (1989),4591,5.0,высокий рейтинг
Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),3202,5.0,высокий рейтинг
Padre padrone (1977),71180,5.0,высокий рейтинг
"Package, The (1989)",4632,5.0,высокий рейтинг
"Brandon Teena Story, The (1998)",3281,5.0,высокий рейтинг
Straight-Jacket (2004),147037,5.0,высокий рейтинг
FAQs (2005),141124,5.0,высокий рейтинг
"Face in the Crowd, A (1957)",3038,5.0,высокий рейтинг
Faces (1968),702,5.0,высокий рейтинг
Boy Crazy (2009),140763,5.0,высокий рейтинг
"Paris, France (1993)",559,5.0,высокий рейтинг
Storefront Hitchcock (1997),1819,5.0,высокий рейтинг
"Passage to India, A (1984)",7087,5.0,высокий рейтинг
Operation 'Y' & Other Shurik's Adventures (1965),127052,5.0,высокий рейтинг
"Family Stone, The (2005)",41573,5.0,высокий рейтинг
"Enforcer, The (1976)",4945,5.0,высокий рейтинг
Supercop 2 (Project S) (Chao ji ji hua) (1993),876,5.0,высокий рейтинг
"Past, The (Le passé) (2013)",102753,5.0,высокий рейтинг
One Piece Film: Strong World (2009),106471,5.0,высокий рейтинг
One Man Band (2005),95377,5.0,высокий рейтинг
"Patience Stone, The (2012)",97826,5.0,высокий рейтинг
Survive and Advance (2013),160590,5.0,высокий рейтинг
One Magic Christmas (1985),2086,5.0,высокий рейтинг
Borgman (2013),107649,5.0,высокий рейтинг
Bone Tomahawk (2015),144976,5.0,высокий рейтинг
Step Into Liquid (2002),6598,5.0,высокий рейтинг
Boiling Point (1993),3165,5.0,высокий рейтинг
On the Edge (2001),4724,5.0,высокий рейтинг
On Probation (Tiempo de Valientes) (2005),43267,5.0,высокий рейтинг
New Police Story (Xin jing cha gu shi) (2004),36931,5.0,высокий рейтинг
"Forsyte Saga, The (1967)",104119,5.0,высокий рейтинг
This Is the Army (1943),77435,5.0,высокий рейтинг
Gaslight (1940),25852,5.0,высокий рейтинг
Frozen Planet (2011),100553,5.0,высокий рейтинг
My Best Friend (Mon meilleur ami) (2006),54328,5.0,высокий рейтинг
Funeral in Berlin (1966),4930,5.0,высокий рейтинг
"Funhouse, The (1981)",3021,5.0,высокий рейтинг
Mute Witness (1994),183,5.0,высокий рейтинг
"Play House, The (1921)",83359,5.0,высокий рейтинг
Gabbeh (1996),1575,5.0,высокий рейтинг
Ben-hur (2016),122888,5.0,высокий рейтинг
Ben X (2007),65037,5.0,высокий рейтинг
Theremin: An Electronic Odyssey (1993),4711,5.0,высокий рейтинг
They All Laughed (1981),5866,5.0,высокий рейтинг
"Mummy's Ghost, The (1944)",2636,5.0,высокий рейтинг
Dream a Little Dream (1989),4584,5.0,высокий рейтинг
"Thief of Bagdad, The (1924)",7302,5.0,высокий рейтинг
The Pacific (2010),126430,5.0,высокий рейтинг
Generation Kill (2008),108709,5.0,высокий рейтинг
Dream With the Fishes (1997),1563,5.0,высокий рейтинг
Gentlemen of Fortune (Dzhentlmeny udachi) (1972),74727,5.0,высокий рейтинг
George Carlin: Back in Town (1996),136445,5.0,высокий рейтинг
George Carlin: It's Bad for Ya! (2008),129514,5.0,высокий рейтинг
George Carlin: Jammin' in New York (1992),140265,5.0,высокий рейтинг
George Carlin: Life Is Worth Losing (2005),130970,5.0,высокий рейтинг
George Carlin: You Are All Diseased (1999),136447,5.0,высокий рейтинг
Drained (O cheiro do Ralo) (2006),56869,5.0,высокий рейтинг
Bedrooms & Hallways (1998),2837,5.0,высокий рейтинг
Mr. Toad's Wild Ride (a.k.a. The Wind in the Willows) (1996),7355,5.0,высокий рейтинг
Germany Year Zero (Germania anno zero) (Deutschland im Jahre Null) (1948),31973,5.0,высокий рейтинг
Capital (Le capital) (2012),98126,5.0,высокий рейтинг
The Slipper and the Rose: The Story of Cinderella (1976),3612,5.0,высокий рейтинг
Picture Bride (Bijo photo) (1994),301,5.0,высокий рейтинг
The Beatles: Eight Days a Week - The Touring Years (2016),163949,5.0,высокий рейтинг
The Dress (1996),141886,5.0,высокий рейтинг
Butterfly (La lengua de las mariposas) (1999),3746,5.0,высокий рейтинг
Neighbouring Sounds (O som ao redor) (2012),98963,5.0,высокий рейтинг
The Big Gay Musical (2009),140759,5.0,высокий рейтинг
The Biggest Fan (2002),140761,5.0,высокий рейтинг
"Edge of Heaven, The (Auf der anderen Seite) (2007)",55555,5.0,высокий рейтинг
The Brave Little Toaster Goes to Mars (1998),130522,5.0,высокий рейтинг
Fox and His Friends (Faustrecht der Freiheit) (1975),5473,5.0,высокий рейтинг
Bill Hicks: Revelations (1993),102217,5.0,высокий рейтинг
Bill Hicks: Relentless (1992),118890,5.0,высокий рейтинг
The Car (1977),121126,5.0,высокий рейтинг
Phantasm II (1988),3837,5.0,высокий рейтинг
"Eclisse, L' (Eclipse) (1962)",26094,5.0,высокий рейтинг
"Big Town, The (1987)",4088,5.0,высокий рейтинг
Napoléon (1927),58649,5.0,высокий рейтинг
Dylan Moran: Monster (2004),92494,5.0,высокий рейтинг
The Earrings of Madame de... (1953),32525,5.0,высокий рейтинг
Eaux d'artifice (1953),95113,5.0,высокий рейтинг
"Myth of the American Sleepover, The (2010)",90061,5.0,высокий рейтинг
Phantom of the Paradise (1974),4789,5.0,высокий рейтинг
Mystery Date (1991),6033,5.0,высокий рейтинг
Earth Entranced (Terra em Transe) (1967),71755,5.0,высокий рейтинг
Big Eden (2000),4342,5.0,высокий рейтинг
Caesar Must Die (Cesare deve morire) (2012),98587,5.0,высокий рейтинг
The Last Brickmaker in America (2001),161944,5.0,высокий рейтинг
The Last Days of Emma Blank (2009),153584,5.0,высокий рейтинг
Friends and Family (2001),6369,5.0,высокий рейтинг
Friends with Kids (2011),91690,5.0,высокий рейтинг
The Man I Love (1997),140743,5.0,высокий рейтинг
Howl (2010),80553,5.0,высокий рейтинг
"Centenarian Who Climbed Out the Window and Vanished, The (Hundraåringen som klev ut genom fönstret och försvann) (2013)",110873,5.0,высокий рейтинг
Ice Princess (2005),32289,5.0,высокий рейтинг
Willie & Phil (1980),112577,5.0,высокий рейтинг
"Last Dragon, The (1985)",4442,5.0,высокий рейтинг
Secretariat (2010),80839,5.0,высокий рейтинг
"Secret, The (2006)",50703,5.0,высокий рейтинг
Z Channel: A Magnificent Obsession (2004),60384,5.0,высокий рейтинг
Romeos (2011),142240,5.0,высокий рейтинг
Kon-Tiki (2012),97057,5.0,высокий рейтинг
Ice Age: The Great Egg-Scapade (2016),156025,5.0,высокий рейтинг
Knockin' on Heaven's Door (1997),32460,5.0,высокий рейтинг
Wild Zero (2000),40226,5.0,высокий рейтинг
Dancing in September (2000),8699,5.0,высокий рейтинг
Schneider vs. Bax (2015),148372,5.0,высокий рейтинг
"Sacrifice, The (Offret - Sacraficatio) (1986)",26578,5.0,высокий рейтинг
Seve (2014),132333,5.0,высокий рейтинг
16 Wishes (2010),140747,5.0,высокий рейтинг
World of Tomorrow (2015),148881,5.0,высокий рейтинг
I'm the One That I Want (2000),3851,5.0,высокий рейтинг
Cool as Ice (1991),3437,5.0,высокий рейтинг
I'm No Angel (1933),7081,5.0,высокий рейтинг
Lamerica (1994),53,5.0,высокий рейтинг
'night Mother (1986),3112,5.0,высокий рейтинг
Land of Silence and Darkness (Land des Schweigens und der Dunkelheit) (1971),67504,5.0,высокий рейтинг
Jack-Jack Attack (2005),95313,5.0,высокий рейтинг
Robin Williams: Weapons of Self Destruction (2009),120805,5.0,высокий рейтинг
10 Attitudes (2001),140745,5.0,высокий рейтинг
"White Sound, The (Das weiße Rauschen) (2001)",31413,5.0,высокий рейтинг
Lake of Fire (2006),59684,5.0,высокий рейтинг
Kwaidan (Kaidan) (1964),7564,5.0,высокий рейтинг
Zerophilia (2005),82608,5.0,высокий рейтинг
I Think I Do (1997),5229,5.0,высокий рейтинг
Zelary (2003),31903,5.0,высокий рейтинг
Cops (1922),83411,5.0,высокий рейтинг
"Saddest Music in the World, The (2003)",27792,5.0,высокий рейтинг
"Seducing Doctor Lewis (Grande séduction, La) (2003)",8121,5.0,высокий рейтинг
Sammy and Rosie Get Laid (1987),8123,5.0,высокий рейтинг
It's Such a Beautiful Day (2012),99764,5.0,высокий рейтинг
29th and Gay (2005),140749,5.0,высокий рейтинг
Kids in America (2005),39416,5.0,высокий рейтинг
Innocence (2000),4731,5.0,высокий рейтинг
"Kidnapping, Caucasian Style (Kavkazskaya plennitsa) (1967)",107412,5.0,высокий рейтинг
Wolf Children (Okami kodomo no ame to yuki) (2012),101962,5.0,высокий рейтинг
"Curiosity of Chance, The (2006)",70762,5.0,высокий рейтинг
"Journey, The (El viaje) (1992)",109249,5.0,высокий рейтинг
"King Is Alive, The (2000)",4302,5.0,высокий рейтинг
Wish Upon a Star (1996),4755,5.0,высокий рейтинг
3 Women (Three Women) (1977),8261,5.0,высокий рейтинг
Rustom (2016),162542,5.0,высокий рейтинг
Seconds (1966),5062,5.0,высокий рейтинг
Woman on Top (2000),3909,5.0,высокий рейтинг
"Room, The (2003)",74754,5.0,высокий рейтинг
Wrong Cops (2013),107447,5.0,высокий рейтинг
Yossi (Ha-Sippur Shel Yossi) (2012),98933,5.0,высокий рейтинг
Cul-de-sac (1966),42900,5.0,высокий рейтинг
Above the Law (1988),4466,5.0,высокий рейтинг
Absolute Giganten (1999),61013,5.0,высокий рейтинг
Wrong (2012),99030,5.0,высокий рейтинг
Woman on the Beach (Haebyeonui yeoin) (2006),52617,5.0,высокий рейтинг
In a Lonely Place (1950),6273,4.833333333333333,высокий рейтинг
Carandiru (2003),7459,4.75,высокий рейтинг
Partly Cloudy (2009),72356,4.75,высокий рейтинг
Return of the Secaucus 7 (1980),5238,4.75,высокий рейтинг
The Lair of the White Worm (1988),4518,4.75,высокий рейтинг
Gigantic (A Tale of Two Johns) (2002),6375,4.75,высокий рейтинг
Dead Man's Shoes (2004),40412,4.75,высокий рейтинг
Jesus of Montreal (Jésus de Montréal) (1989),4612,4.75,высокий рейтинг
"Wages of Fear, The (Salaire de la peur, Le) (1953)",7700,4.75,высокий рейтинг
East-West (Est-ouest) (1999),3357,4.75,высокий рейтинг
Rory O'Shea Was Here (Inside I'm Dancing) (2004),31435,4.75,высокий рейтинг
Doctor Who: The Time of the Doctor (2013),117192,4.75,высокий рейтинг
Anne Frank Remembered (1995),116,4.75,высокий рейтинг
"Baader Meinhof Komplex, Der (2008)",67508,4.75,высокий рейтинг
Paperman (2012),98491,4.75,высокий рейтинг
Twelve O'Clock High (1949),4338,4.75,высокий рейтинг
Ugetsu (Ugetsu monogatari) (1953),8199,4.75,высокий рейтинг
Ikiru (1952),6669,4.75,высокий рейтинг
Detour (1945),3966,4.75,высокий рейтинг
Boy (2010),86000,4.75,высокий рейтинг
Soul Kitchen (2009),73587,4.75,высокий рейтинг
Red Beard (Akahige) (1965),5498,4.75,высокий рейтинг
House (Hausu) (1977),50641,4.75,высокий рейтинг
Eternity and a Day (Mia aoniotita kai mia mera) (1998),2673,4.75,высокий рейтинг
"Zorro, the Gay Blade (1981)",4696,4.75,высокий рейтинг
Love & Human Remains (1993),178,4.7,высокий рейтинг
Diabolique (Les diaboliques) (1955),7116,4.7,высокий рейтинг
Tarnation (2003),8938,4.666666666666667,высокий рейтинг
"Endurance: Shackleton's Legendary Antarctic Expedition, The (2000)",4783,4.666666666666667,высокий рейтинг
"Black Cat, White Cat (Crna macka, beli macor) (1998)",2843,4.666666666666667,высокий рейтинг
"Decline of the American Empire, The (Déclin de l'empire américain, Le) (1986)",8933,4.666666666666667,высокий рейтинг
Paradise Now (2005),41527,4.666666666666667,высокий рейтинг
Wild Tales (2014),116897,4.666666666666667,высокий рейтинг
Trouble in Paradise (1932),3739,4.666666666666667,высокий рейтинг
"Civil War, The (1990)",93040,4.666666666666667,высокий рейтинг
Character (Karakter) (1997),1860,4.666666666666667,высокий рейтинг
Hands on a Hard Body (1996),2330,4.666666666666667,высокий рейтинг
Man Facing Southeast (1986),2938,4.666666666666667,высокий рейтинг
Dangerous Beauty (1998),2563,4.666666666666667,высокий рейтинг
Mother Night (1996),893,4.666666666666667,высокий рейтинг
"Big Heat, The (1953)",5017,4.666666666666667,высокий рейтинг
"Best Years of Our Lives, The (1946)",1939,4.636363636363637,высокий рейтинг
"White Balloon, The (Badkonake sefid) (1995)",80,4.625,высокий рейтинг
28 Up (1985),7566,4.625,высокий рейтинг
"Decline of Western Civilization, The (1981)",3679,4.625,высокий рейтинг
"Bad and the Beautiful, The (1952)",5114,4.6,высокий рейтинг
Drunken Master (Jui kuen) (1978),2924,4.583333333333333,высокий рейтинг
Inherit the Wind (1960),3469,4.541666666666667,высокий рейтинг
Mr. & Mrs. Bridge (1990),6419,4.5,высокий рейтинг
Slam (1998),2305,4.5,высокий рейтинг
Dragon Ball Z: Broly - The Legendary Super Saiyan (Doragon bôru Z 8: Moetsukiro!! Nessen retsusen-chô gekisen) (1993),95499,4.5,высокий рейтинг
Querelle (1982),6121,4.5,высокий рейтинг
Buster Keaton: A Hard Act to Follow (1987),80599,4.5,высокий рейтинг
Common Threads: Stories from the Quilt (1989),26655,4.5,высокий рейтинг
Black Moon (1975),62764,4.5,высокий рейтинг
George Harrison: Living in the Material World (2011),90863,4.5,высокий рейтинг
"Cercle Rouge, Le (Red Circle, The) (1970)",6920,4.5,высокий рейтинг
"Groove Tube, The (1974)",26323,4.5,высокий рейтинг
Tromeo and Juliet (1996),26915,4.5,высокий рейтинг
"Pervert's Guide to Ideology, The (2012)",100106,4.5,высокий рейтинг
"Thousand Clowns, A (1965)",26147,4.5,высокий рейтинг
Nightwatching (2007),79203,4.5,высокий рейтинг
Autumn Sonata (Höstsonaten) (1978),2131,4.5,высокий рейтинг
Nil By Mouth (1997),1846,4.5,высокий рейтинг
"Testament of Dr. Mabuse, The (Das Testament des Dr. Mabuse) (1933)",8670,4.5,высокий рейтинг
Dragon Ball Z: Cooler's Revenge (Doragon bôru Z 5: Tobikkiri no saikyô tai saikyô) (1991),95475,4.5,высокий рейтинг
"Match Factory Girl, The (Tulitikkutehtaan tyttö) (1990)",40491,4.5,высокий рейтинг
That Old Feeling (1997),1463,4.5,высокий рейтинг
Legendary Weapons of China (1982),102252,4.5,высокий рейтинг
Pandora and the Flying Dutchman (1951),3657,4.5,высокий рейтинг
Cave of Forgotten Dreams (2010),85394,4.5,высокий рейтинг
Excision (2012),97957,4.5,высокий рейтинг
"What Happened, Miss Simone? (2015)",127164,4.5,высокий рейтинг
"Greatest Story Ever Told, The (1965)",4189,4.5,высокий рейтинг
"Baby of Mâcon, The (a.k.a. The Baby of Macon) (1993)",26809,4.5,высокий рейтинг
Scratch (2001),5137,4.5,высокий рейтинг
Pusher (1996),26947,4.5,высокий рейтинг
Pépé le Moko (1937),6035,4.5,высокий рейтинг
Post Grad (2009),70898,4.5,высокий рейтинг
The Wild One (1953),25999,4.5,высокий рейтинг
Roots (1977),69849,4.5,высокий рейтинг
"Pajama Game, The (1957)",2874,4.5,высокий рейтинг
Edward II (1991),46544,4.5,высокий рейтинг
For the Birds (2000),95858,4.5,высокий рейтинг
Grey Gardens (2009),72367,4.5,высокий рейтинг
For Roseanna (Roseanna's Grave) (1997),1564,4.5,высокий рейтинг
"Black God, White Devil (Deus e o Diabo na Terra do Sol) (1964)",71433,4.5,высокий рейтинг
Justice League: Crisis on Two Earths (2010),104419,4.5,высокий рейтинг
Gun Crazy (a.k.a. Deadly Is the Female) (1949),8751,4.5,высокий рейтинг
El vals de los inútiles (2014),138698,4.5,высокий рейтинг
Ryan's Daughter (1970),7111,4.5,высокий рейтинг
Charly (2002),5622,4.5,высокий рейтинг
"Cameraman, The (1928)",25764,4.5,высокий рейтинг
"Chaser, The (Chugyeogja) (2008)",73808,4.5,высокий рейтинг
"Emperor's New Clothes, The (2001)",5422,4.5,высокий рейтинг
Che: Part One (2008),64499,4.5,высокий рейтинг
Harakiri (Seppuku) (1962),26082,4.5,высокий рейтинг
35 Up (1991),26712,4.5,высокий рейтинг
"Five Senses, The (1999)",3795,4.5,высокий рейтинг
Che: Part Two (2008),64501,4.5,высокий рейтинг
Comfort and Joy (1984),26505,4.5,высокий рейтинг
"Hard Way, The (1943)",25882,4.5,высокий рейтинг
They Live by Night (1949),25945,4.5,высокий рейтинг
"Taste of Others, The (Le goût des autres) (2000)",4151,4.5,высокий рейтинг
Cheap Thrills (2013),109742,4.5,высокий рейтинг
Fist of Legend (Jing wu ying xiong) (1994),26865,4.5,высокий рейтинг
Mala Noche (1985),58520,4.5,высокий рейтинг
"Wind Rises, The (Kaze tachinu) (2013)",104283,4.5,высокий рейтинг
1984 (1956),62049,4.5,высокий рейтинг
"Last Laugh, The (Letzte Mann, Der) (1924)",4405,4.5,высокий рейтинг
Drunken Angel (Yoidore tenshi) (1948),7919,4.5,высокий рейтинг
Joe Strummer: The Future Is Unwritten (2007),57845,4.5,высокий рейтинг
Lessons of Darkness (Lektionen in Finsternis) (1992),31547,4.5,высокий рейтинг
"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",27156,4.5,высокий рейтинг
Beau Pere (a.k.a. Stepfather) (Beau-père) (1981),5518,4.5,высокий рейтинг
Rosetta (1999),3010,4.5,высокий рейтинг
Mortal Thoughts (1991),2267,4.5,высокий рейтинг
Hachiko: A Dog's Story (a.k.a. Hachi: A Dog's Tale) (2009),73290,4.5,высокий рейтинг
"Star Is Born, A (1954)",25996,4.5,высокий рейтинг
Terminal USA (1993),95752,4.5,высокий рейтинг
Cure (1997),4645,4.5,высокий рейтинг
"Pompatus of Love, The (1996)",984,4.5,высокий рейтинг
Electric Dreams (1984),26509,4.5,высокий рейтинг
Burma VJ: Reporting from a Closed Country (Burma VJ: Reporter i et lukket land) (2008),71640,4.5,высокий рейтинг
Elizabeth: The Golden Age (2007),55274,4.5,высокий рейтинг
